 time            p2e             vout           
 1.31280000e-08  5.54507545e-07  5.48774775e-01 
 1.32280000e-08  5.54507544e-07  5.48774775e-01 
 1.33280000e-08  5.54507545e-07  5.48774775e-01 
 1.34280000e-08  5.54507543e-07  5.48774775e-01 
 1.35280000e-08  5.54507546e-07  5.48774775e-01 
 1.36280000e-08  5.54507543e-07  5.48774775e-01 
 1.37280000e-08  5.54507546e-07  5.48774775e-01 
 1.38280000e-08  5.54507543e-07  5.48774775e-01 
 1.39280000e-08  5.54507543e-07  5.48774775e-01 
 1.40280000e-08  5.54507546e-07  5.48774775e-01 
 1.41280000e-08  5.54507542e-07  5.48774775e-01 
 1.42280000e-08  5.54507547e-07  5.48774775e-01 
 1.43280000e-08  5.54507542e-07  5.48774775e-01 
 1.44280000e-08  5.54507547e-07  5.48774775e-01 
 1.45280000e-08  5.54507543e-07  5.48774775e-01 
 1.46280000e-08  5.54507543e-07  5.48774775e-01 
 1.47280000e-08  5.54507545e-07  5.48774775e-01 
 1.48280000e-08  5.54507544e-07  5.48774775e-01 
 1.49280000e-08  5.54507543e-07  5.48774775e-01 
 1.50280000e-08  5.54507546e-07  5.48774775e-01 
 1.51280000e-08  5.54507543e-07  5.48774775e-01 
 1.52280000e-08  5.54507545e-07  5.48774775e-01 
 1.53280000e-08  5.54507543e-07  5.48774775e-01 
 1.54280000e-08  5.54507546e-07  5.48774775e-01 
 1.55280000e-08  5.54507542e-07  5.48774775e-01 
 1.56280000e-08  5.54507547e-07  5.48774775e-01 
 1.57280000e-08  5.54507542e-07  5.48774775e-01 
 1.58280000e-08  5.54507546e-07  5.48774775e-01 
 1.59280000e-08  5.54507543e-07  5.48774775e-01 
 1.60280000e-08  5.54507545e-07  5.48774775e-01 
 1.61280000e-08  5.54507543e-07  5.48774775e-01 
 1.62280000e-08  5.54507546e-07  5.48774775e-01 
 1.63280000e-08  5.54507544e-07  5.48774775e-01 
 1.64280000e-08  5.54507544e-07  5.48774775e-01 
 1.65280000e-08  5.54507543e-07  5.48774775e-01 
 1.66280000e-08  5.54507543e-07  5.48774775e-01 
 1.67280000e-08  5.54507546e-07  5.48774775e-01 
 1.68280000e-08  5.54507542e-07  5.48774775e-01 
 1.69280000e-08  5.54507547e-07  5.48774775e-01 
 1.70280000e-08  5.54507542e-07  5.48774775e-01 
 1.71280000e-08  5.54507546e-07  5.48774775e-01 
 1.72280000e-08  5.54507545e-07  5.48774775e-01 
 1.73280000e-08  5.54507542e-07  5.48774775e-01 
 1.74280000e-08  5.54507546e-07  5.48774775e-01 
 1.75280000e-08  5.54507542e-07  5.48774775e-01 
 1.76280000e-08  5.54507547e-07  5.48774775e-01 
 1.77280000e-08  5.54507542e-07  5.48774775e-01 
 1.78280000e-08  5.54507547e-07  5.48774775e-01 
 1.79280000e-08  5.54507542e-07  5.48774775e-01 
 1.80280000e-08  5.54507545e-07  5.48774775e-01 
 1.81280000e-08  5.54507544e-07  5.48774775e-01 
 1.82280000e-08  5.54507543e-07  5.48774775e-01 
 1.83280000e-08  5.54507546e-07  5.48774775e-01 
 1.84280000e-08  5.54507543e-07  5.48774775e-01 
 1.85280000e-08  5.54507546e-07  5.48774775e-01 
 1.86280000e-08  5.54507542e-07  5.48774775e-01 
 1.87280000e-08  5.54507545e-07  5.48774775e-01 
 1.88280000e-08  5.54507544e-07  5.48774775e-01 
 1.89280000e-08  5.54507544e-07  5.48774775e-01 
 1.90280000e-08  5.54507546e-07  5.48774775e-01 
 1.91280000e-08  5.54507542e-07  5.48774775e-01 
 1.92280000e-08  5.54507547e-07  5.48774775e-01 
