 time            p2e             vout           
 7.42635063e-08  1.19815639e-08  5.57712382e-01 
 7.43635063e-08  1.19815658e-08  5.57712370e-01 
 7.44635063e-08  1.19815605e-08  5.57712358e-01 
 7.45635063e-08  1.19815654e-08  5.57712346e-01 
 7.46635063e-08  1.19815647e-08  5.57712334e-01 
 7.47635063e-08  1.19815648e-08  5.57712322e-01 
 7.48635063e-08  1.19815646e-08  5.57712310e-01 
 7.49635063e-08  1.19815647e-08  5.57712298e-01 
 7.50635063e-08  1.19815648e-08  5.57712286e-01 
 7.51635063e-08  1.19815649e-08  5.57712275e-01 
 7.52635063e-08  1.19815651e-08  5.57712263e-01 
 7.53635063e-08  1.19815650e-08  5.57712251e-01 
 7.54635063e-08  1.19815635e-08  5.57712239e-01 
 7.55635063e-08  1.19815651e-08  5.57712227e-01 
 7.56635063e-08  1.19815633e-08  5.57712215e-01 
 7.57635063e-08  1.19815670e-08  5.57712203e-01 
 7.58635063e-08  1.19815639e-08  5.57712191e-01 
 7.59635063e-08  1.19815658e-08  5.57712179e-01 
 7.60635063e-08  1.19815642e-08  5.57712168e-01 
 7.61635063e-08  1.19815626e-08  5.57712156e-01 
 7.62635063e-08  1.19815658e-08  5.57712144e-01 
 7.63635063e-08  1.19815656e-08  5.57712132e-01 
 7.64635063e-08  1.19815623e-08  5.57712120e-01 
 7.65635063e-08  1.19815657e-08  5.57712108e-01 
 7.66635063e-08  1.19815636e-08  5.57712096e-01 
 7.67635063e-08  1.19815652e-08  5.57712084e-01 
 7.68635063e-08  1.19815654e-08  5.57712072e-01 
 7.69635063e-08  1.19815636e-08  5.57712060e-01 
 7.70635063e-08  1.19815655e-08  5.57712049e-01 
 7.71635063e-08  1.19815634e-08  5.57712037e-01 
 7.72635063e-08  1.19815653e-08  5.57712025e-01 
 7.73635063e-08  1.19815635e-08  5.57712013e-01 
 7.74635063e-08  1.19815654e-08  5.57712001e-01 
 7.75635063e-08  1.19815652e-08  5.57711989e-01 
 7.76635063e-08  1.19815655e-08  5.57711977e-01 
 7.77635063e-08  1.19815638e-08  5.57711965e-01 
 7.78635063e-08  1.19815658e-08  5.57711953e-01 
 7.79635063e-08  1.19815639e-08  5.57711941e-01 
 7.80635063e-08  1.19815639e-08  5.57711930e-01 
 7.81635063e-08  1.19815639e-08  5.57711918e-01 
 7.82635063e-08  1.19815652e-08  5.57711906e-01 
 7.83635063e-08  1.19815649e-08  5.57711894e-01 
 7.84635063e-08  1.19815654e-08  5.57711882e-01 
 7.85635063e-08  1.19815618e-08  5.57711870e-01 
 7.86635063e-08  1.19815651e-08  5.57711858e-01 
 7.87635063e-08  1.19815663e-08  5.57711846e-01 
 7.88635063e-08  1.19815648e-08  5.57711834e-01 
 7.89635063e-08  1.19815653e-08  5.57711823e-01 
 7.90635063e-08  1.19815640e-08  5.57711811e-01 
 7.91635063e-08  1.19815638e-08  5.57711799e-01 
 7.92635063e-08  1.19815656e-08  5.57711787e-01 
 7.93635063e-08  1.19815638e-08  5.57711775e-01 
 7.94635063e-08  1.19815656e-08  5.57711763e-01 
 7.95635063e-08  1.19815623e-08  5.57711751e-01 
 7.96635063e-08  1.19815655e-08  5.57711739e-01 
 7.97635063e-08  1.19815652e-08  5.57711727e-01 
 7.98635063e-08  1.19815634e-08  5.57711715e-01 
 7.99635063e-08  1.19815652e-08  5.57711704e-01 
 8.00000000e-08  1.19815591e-08  5.57711699e-01 
 8.00040055e-08 -3.70810811e-06  5.57711582e-01 
 8.00120166e-08  1.28153797e-06  5.57711626e-01 
 8.00280387e-08  3.01074143e-06  5.57711735e-01 
 8.00545934e-08  3.14685882e-07  5.57711786e-01 
 8.00705279e-08  5.86623870e-06  5.57712203e-01 
 8.00896090e-08  9.82267717e-06  5.57712754e-01 
 8.01000000e-08  1.59999231e-05  5.57712960e-01 
 8.01021974e-08  1.49661391e-05  5.57713006e-01 
 8.01065923e-08 -2.51662141e-05  5.57712658e-01 
 8.01153820e-08 -1.96967140e-04  5.57711353e-01 
 8.01261334e-08 -3.00013773e-04  5.57710422e-01 
 8.01382247e-08 -1.19822653e-04  5.57710335e-01 
 8.01482973e-08  4.46626204e-04  5.57710826e-01 
 8.01579726e-08  1.06129187e-03  5.57711332e-01 
 8.01696312e-08  1.14679181e-03  5.57711524e-01 
 8.01799298e-08  6.78337837e-04  5.57711314e-01 
 8.01915356e-08 -9.66992742e-05  5.57711006e-01 
 8.02027241e-08 -6.49014120e-04  5.57711056e-01 
 8.02120396e-08 -7.66250299e-04  5.57711231e-01 
 8.02201456e-08 -6.26566062e-04  5.57712569e-01 
 8.02293091e-08 -3.69678269e-04  5.57714510e-01 
 8.02394110e-08 -1.45017739e-04  5.57714819e-01 
 8.02481471e-08 -9.35885098e-05  5.57712602e-01 
 8.02587326e-08 -1.07675241e-04  5.57700223e-01 
 8.02685179e-08 -1.04704228e-04  5.57684977e-01 
 8.02774156e-08 -7.66108685e-05  5.57668354e-01 
 8.02867900e-08 -4.19728504e-05  5.57704152e-01 
 8.02957416e-08 -2.00951774e-05  5.57818136e-01 
 8.03057055e-08 -9.60166014e-06  5.57977285e-01 
 8.03168889e-08 -6.76492313e-06  5.58152124e-01 
 8.03295174e-08 -3.57186230e-06  5.58043415e-01 
 8.03408206e-08 -5.48029790e-07  5.57273569e-01 
 8.03528184e-08  8.69496060e-07  5.56023662e-01 
 8.03641854e-08  7.23119023e-07  5.54722049e-01 
 8.03774727e-08  2.35131368e-07  5.53356367e-01 
 8.03897097e-08 -1.67326689e-07  5.52588179e-01 
 8.04032868e-08 -5.64371845e-07  5.52503982e-01 
 8.04164743e-08 -4.42547933e-07  5.52850484e-01 
 8.04311711e-08 -7.68410293e-07  5.53342701e-01 
 8.04449648e-08  3.45349150e-07  5.53777758e-01 
 8.04581086e-08  2.07420744e-06  5.54162435e-01 
 8.04738657e-08 -6.11843666e-07  5.54574289e-01 
 8.04887706e-08  5.16025652e-06  5.55150070e-01 
 8.05022704e-08  1.31517777e-05  5.56090401e-01 
 8.05172786e-08  5.34615123e-06  5.57497155e-01 
 8.05274881e-08 -3.98701889e-05  5.57828231e-01 
 8.05376777e-08 -1.88790477e-04  5.55875830e-01 
 8.05498944e-08 -3.25387194e-04  5.50716850e-01 
 8.05604904e-08 -2.62478885e-04  5.45357004e-01 
 8.05689248e-08  1.36164128e-03  5.40902266e-01 
 8.05793147e-08  3.56740061e-03  5.35936844e-01 
 8.05890186e-08  4.53342766e-03  5.32392725e-01 
 8.05986095e-08 -1.37681357e-04  5.30533329e-01 
 8.06087507e-08 -1.41481749e-02  5.30571537e-01 
 8.06188646e-08 -3.37873091e-02  5.32122412e-01 
 8.06291369e-08 -6.45845704e-02  5.34384103e-01 
 8.06406266e-08 -4.62289143e-02  5.36874474e-01 
 8.06519245e-08  1.17748167e-01  5.38780178e-01 
 8.06642706e-08  4.27051662e-01  5.40110463e-01 
 8.06739445e-08  6.94805350e-01  5.40733595e-01 
 8.06853059e-08  9.42247882e-01  5.41087438e-01 
 8.06974638e-08  1.08253079e+00  5.41107218e-01 
 8.07110151e-08  1.13834575e+00  5.40793113e-01 
 8.07222951e-08  1.15197345e+00  5.41742901e-01 
 8.07321813e-08  1.15717328e+00  5.44406473e-01 
 8.07434759e-08  1.16741550e+00  5.48865113e-01 
 8.07558476e-08  1.18254249e+00  5.54219869e-01 
 8.07696290e-08  1.19475662e+00  5.59594460e-01 
 8.07856089e-08  1.20061060e+00  5.64423861e-01 
 8.08004338e-08  1.20147517e+00  5.67373725e-01 
 8.08165257e-08  1.20093606e+00  5.69229966e-01 
 8.08335509e-08  1.20034713e+00  5.70361208e-01 
 8.08525335e-08  1.20004206e+00  5.71510447e-01 
 8.08687898e-08  1.19997435e+00  5.72263139e-01 
 8.08816104e-08  1.19997513e+00  5.71821354e-01 
 8.08966157e-08  1.19998784e+00  5.70310590e-01 
 8.09106310e-08  1.19999604e+00  5.68554358e-01 
 8.09299726e-08  1.19999987e+00  5.66078259e-01 
 8.09522549e-08  1.20000057e+00  5.63243738e-01 
 8.09888810e-08  1.20000043e+00  5.58654279e-01 
 8.10433590e-08  1.20000004e+00  5.52131585e-01 
 8.11271259e-08  1.19999993e+00  5.43367573e-01 
 8.12201189e-08  1.19999997e+00  5.36419955e-01 
 8.13134856e-08  1.19999998e+00  5.33153743e-01 
 8.14134856e-08  1.19999998e+00  5.33762583e-01 
 8.15134856e-08  1.19999998e+00  5.37783895e-01 
 8.16134856e-08  1.19999998e+00  5.44081171e-01 
 8.17134856e-08  1.19999998e+00  5.51637819e-01 
 8.18134856e-08  1.19999998e+00  5.59720365e-01 
 8.19134856e-08  1.19999998e+00  5.67869199e-01 
 8.20134856e-08  1.19999998e+00  5.75826599e-01 
 8.21134856e-08  1.19999998e+00  5.83463396e-01 
 8.22134856e-08  1.19999998e+00  5.90724710e-01 
 8.23134856e-08  1.19999998e+00  5.97595481e-01 
 8.24134856e-08  1.19999998e+00  6.04080553e-01 
 8.25134856e-08  1.19999998e+00  6.10193921e-01 
 8.26134856e-08  1.19999998e+00  6.15953252e-01 
 8.27134856e-08  1.19999998e+00  6.21377241e-01 
 8.28134856e-08  1.19999998e+00  6.26484412e-01 
 8.29134856e-08  1.19999998e+00  6.31292612e-01 
 8.30134856e-08  1.19999998e+00  6.35818837e-01 
 8.31134856e-08  1.19999998e+00  6.40079196e-01 
 8.32134856e-08  1.19999998e+00  6.44088925e-01 
 8.33134856e-08  1.19999998e+00  6.47862426e-01 
 8.34134856e-08  1.19999998e+00  6.51413310e-01 
 8.35134856e-08  1.19999998e+00  6.54754436e-01 
 8.36134856e-08  1.19999998e+00  6.57897953e-01 
 8.37134856e-08  1.19999998e+00  6.60855334e-01 
 8.38134856e-08  1.19999998e+00  6.63637413e-01 
 8.39134856e-08  1.19999998e+00  6.66254416e-01 
 8.40134856e-08  1.19999998e+00  6.68715997e-01 
 8.41134856e-08  1.19999998e+00  6.71031260e-01 
 8.42134856e-08  1.19999998e+00  6.73208795e-01 
 8.43134856e-08  1.19999998e+00  6.75256703e-01 
 8.44134856e-08  1.19999998e+00  6.77182621e-01 
 8.45134856e-08  1.19999998e+00  6.78993745e-01 
 8.46134856e-08  1.19999998e+00  6.80696861e-01 
 8.47134856e-08  1.19999998e+00  6.82298358e-01 
 8.48134856e-08  1.19999998e+00  6.83804257e-01 
 8.49134856e-08  1.19999998e+00  6.85220229e-01 
 8.50134856e-08  1.19999998e+00  6.86551612e-01 
 8.51134856e-08  1.19999998e+00  6.87803433e-01 
 8.52134856e-08  1.19999998e+00  6.88980425e-01 
 8.53134856e-08  1.19999998e+00  6.90087043e-01 
 8.54134856e-08  1.19999998e+00  6.91127478e-01 
 8.55134856e-08  1.19999998e+00  6.92105675e-01 
 8.56134856e-08  1.19999998e+00  6.93025348e-01 
 8.57134856e-08  1.19999998e+00  6.93889987e-01 
 8.58134856e-08  1.19999998e+00  6.94702879e-01 
 8.59134856e-08  1.19999998e+00  6.95467115e-01 
 8.60134856e-08  1.19999998e+00  6.96185601e-01 
 8.61134856e-08  1.19999998e+00  6.96861072e-01 
 8.62134856e-08  1.19999998e+00  6.97496100e-01 
 8.63134856e-08  1.19999998e+00  6.98093103e-01 
 8.64134856e-08  1.19999998e+00  6.98654388e-01 
 8.65134856e-08  1.19999998e+00  6.99182059e-01 
 8.66134856e-08  1.19999998e+00  6.99678122e-01 
 8.67134856e-08  1.19999998e+00  7.00144467e-01 
 8.68134856e-08  1.19999998e+00  7.00582876e-01 
 8.69134856e-08  1.19999998e+00  7.00995024e-01 
 8.70134856e-08  1.19999998e+00  7.01382483e-01 
 8.71134856e-08  1.19999998e+00  7.01746733e-01 
 8.72134856e-08  1.19999998e+00  7.02089164e-01 
 8.73134856e-08  1.19999998e+00  7.02411083e-01 
 8.74134856e-08  1.19999998e+00  7.02713718e-01 
 8.75134856e-08  1.19999998e+00  7.02998226e-01 
 8.76134856e-08  1.19999998e+00  7.03265690e-01 
 8.77134856e-08  1.19999998e+00  7.03517133e-01 
 8.78134856e-08  1.19999998e+00  7.03753513e-01 
 8.79134856e-08  1.19999998e+00  7.03975734e-01 
 8.80134856e-08  1.19999998e+00  7.04184642e-01 
 8.81134856e-08  1.19999998e+00  7.04381036e-01 
 8.82134856e-08  1.19999998e+00  7.04565665e-01 
 8.83134856e-08  1.19999998e+00  7.04739234e-01 
 8.84134856e-08  1.19999998e+00  7.04902405e-01 
 8.85134856e-08  1.19999998e+00  7.05055802e-01 
 8.86134856e-08  1.19999998e+00  7.05200008e-01 
 8.87134856e-08  1.19999998e+00  7.05335576e-01 
 8.88134856e-08  1.19999998e+00  7.05463023e-01 
 8.89134856e-08  1.19999998e+00  7.05582834e-01 
 8.90134856e-08  1.19999998e+00  7.05695468e-01 
 8.91134856e-08  1.19999998e+00  7.05801354e-01 
 8.92134856e-08  1.19999998e+00  7.05900897e-01 
 8.93134856e-08  1.19999998e+00  7.05994475e-01 
