 time            vo              q               p1              p2             
 3.43705124e-05 -4.48419886e-01  5.91581000e-08  1.20000000e+00  0.00000000e+00 
 3.43805124e-05 -4.48419886e-01  5.91581001e-08  1.20000000e+00  0.00000000e+00 
 3.43905124e-05 -4.48419886e-01  5.91581002e-08  1.20000000e+00  0.00000000e+00 
 3.44005124e-05 -4.48419886e-01  5.91581000e-08  1.20000000e+00  0.00000000e+00 
 3.44105124e-05 -4.48419886e-01  5.91581001e-08  1.20000000e+00  0.00000000e+00 
 3.44205124e-05 -4.48419886e-01  5.91581000e-08  1.20000000e+00  0.00000000e+00 
 3.44305124e-05 -4.48419886e-01  5.91580998e-08  1.20000000e+00  0.00000000e+00 
 3.44405124e-05 -4.48419886e-01  5.91581002e-08  1.20000000e+00  0.00000000e+00 
 3.44505124e-05 -4.48419886e-01  5.91581000e-08  1.20000000e+00  0.00000000e+00 
 3.44605124e-05 -4.48419886e-01  5.91581001e-08  1.20000000e+00  0.00000000e+00 
 3.44705124e-05 -4.48419886e-01  5.91581000e-08  1.20000000e+00  0.00000000e+00 
 3.44805124e-05 -4.48419886e-01  5.91581000e-08  1.20000000e+00  0.00000000e+00 
 3.44905124e-05 -4.48419886e-01  5.91581002e-08  1.20000000e+00  0.00000000e+00 
 3.45001000e-05 -4.48419886e-01  5.91581000e-08  1.20000000e+00  0.00000000e+00 
 3.45001100e-05 -4.48419886e-01 -8.50362925e-06  1.08000000e+00  0.00000000e+00 
 3.45001300e-05 -4.48419886e-01  7.92578214e-06  8.40000000e-01  0.00000000e+00 
 3.45001348e-05 -4.48419886e-01  6.26394540e-06  7.82500000e-01  0.00000000e+00 
 3.45001432e-05 -4.48419886e-01  7.51882496e-06  6.81875000e-01  0.00000000e+00 
 3.45001525e-05 -4.48419886e-01  2.17852772e-05  5.70468750e-01  0.00000000e+00 
 3.45001608e-05 -4.48419886e-01  4.53746952e-05  4.70421791e-01  0.00000000e+00 
 3.45001695e-05 -4.48419886e-01  7.00069721e-05  3.66300376e-01  0.00000000e+00 
 3.45001796e-05 -4.48419886e-01  7.26935611e-05  2.45269054e-01  0.00000000e+00 
 3.45001903e-05 -4.48419886e-01  5.87032964e-05  1.16332871e-01  0.00000000e+00 
 3.45002000e-05 -4.48419886e-01 -6.98003692e-06  0.00000000e+00  0.00000000e+00 
 3.45002010e-05 -4.48419886e-01  1.21660185e-06  0.00000000e+00  0.00000000e+00 
 3.45002029e-05 -4.48419886e-01 -4.50206826e-05  0.00000000e+00  0.00000000e+00 
 3.45002067e-05 -4.48419886e-01 -2.37446272e-04  0.00000000e+00  0.00000000e+00 
 3.45002115e-05 -4.48419886e-01 -4.28735709e-04  0.00000000e+00  0.00000000e+00 
 3.45002173e-05 -4.48419886e-01 -4.75270448e-04  0.00000000e+00  0.00000000e+00 
